name,Base Note,Department,Heart/Middle Note,link,Scents/Notes,Size,Top Note,price,concentration
AMOUAGE Opus III,"musk,sandalwood,guaiacwood,virginiacedar,benzoinvanille,ambrettemuskmallow,papyrus",Unisex,"jasmine,africanorangeflower,ylangylangg,violet",https://www.noon.com/uae-en/opus-iii-edp-100ml/N11803444A/p?o=e9e0981e2e74458c,Oriental,100ml,"mimosa,dyer’sgreenweed,clove,nutmeg,thyme",467.0,EDP
AMOUAGE Opus IV,"labdanum,incense,musk",Unisex,"elemi,cardamon,caraway,rosehip,rose,violetleaf",https://www.noon.com/uae-en/opus-iv-edp-100ml/N11074636A/p?o=c2874dc8898387cd,Fruity,100ml,"lemon,mandarinorange,grapefruit,coriander",573.75,EDP
AMOUAGE Opus IX Library Collection,"vetiver,ambergris,civet",Unisex,"guaiacwood,leather,beeswax",https://www.noon.com/uae-en/opus-ix-library-collection-edp-100ml/N11201613A/p?o=c1b83f0b2c3e6b3a,Fruity,100ml,"camelia,jasmine,blackpepper",529.9,EDP
AMOUAGE Opus V Library Collection,"agarwoodoud,woodsy,civetta",Unisex,"iris,rose,jasmine",https://www.noon.com/uae-en/opus-v-library-collection-edp-100ml/N11803446A/p?o=a421b67b5465762f,Floral,100ml,"orrisroot,rum",598.45,EDP
AMOUAGE Opus VI Library Collection,"ambranum,sandalwood,cistus,z11",Unisex,"periploca,cypriol,patchouli",https://www.noon.com/uae-en/opus-vi-library-collection-edp-100ml/N11201616A/p?o=f2462a40b59a69ce,Floral,100ml,"sichuanpepper,stthomasbay,frankincense",663.7,EDP
AMOUAGE Opus VII Library Collection,"costusroot,sandalwood,olibanum,cypriol,muscone",Unisex,"agarwoodsmoke,patchouli,ambrox,leather,ambergris",https://www.noon.com/uae-en/opus-vii-library-collection-edp-100ml/N11201615A/p?o=e7a0ff28a6ec50ee,Woody,100ml,"pinkpepper,cardamom,nutmeg,fenugreek,galbanum",643.8,EDP
AMOUAGE Opus VIII,"benzoin,westindianbay",Unisex,"olibanum,saffron,ginger,vetiver,guaiacwood",https://www.noon.com/uae-en/opus-viii-edp-100ml/N11201614A/p?o=2b3eb0969d2482f9,,100ml,"jasmine,ylangylang,orangeblossom",602.55,EDP
AMOUAGE Portrayal,cade,Men,vetiver,https://www.noon.com/uae-en/portrayal-edp-100ml/N37566972A/p?o=c446bde9e744bd5a,,100ml,violet,585.0,EDP
AMOUAGE Pous III,"ambretteseed,musk,papyrus,cedarwood,sandalwood,guaiacwood,benzoin,vanilla,frankincense",Unisex,"violet,jasmine,ylangylangg,orangeblossom",https://www.noon.com/uae-en/pous-iii-edp-100ml/N11074635A/p?o=a1d75b354e7df5df,Oriental,100ml,"mimosa,broom,carnation,nutmeg,thyme",663.0,EDP
AMOUAGE Ralph Lauren Romance,"patchouli,oakmoss,whitemusk",Women,"whiteviolet,lily,carnation,lotus",https://www.noon.com/uae-en/ralph-lauren-romance-edp-100ml/N13582598A/p?o=ce3c7c3aa7e3a2aa,Floral,100ml,"ginger,chamomile,lemon,yellowfreesia,rose",295.0,EDP
AMOUAGE Reflection,"sandalwood,patchouli,vetiver,cedar",Men,"orrisroot,jasmine,neroli,ylangylangg",https://www.noon.com/uae-en/reflection-edp-100ml/N15567547A/p?o=d4d34eda5c341bba,Woody,100ml,"rosemary,pinkpepper,petitgrain",672.8,EDP
